,name,price,depreciation,mileage,eng_cap,power,reg_date,coe_left,owners,omv,arf,accessories
0,Lexus IS250 Luxury ,59988.0,11910.0,165000.0,2500.0,153.0,22-Apr-2009,5.03,4.0,41697.0,41697.0,"Android heat unit, multi function steering wheel, reverse camera and sensor, electric seats, keyless entry, start/stop."
1,Porsche 911 Carrera S Coupe 3.0A PDK,608888.0,65000.0,19000.0,2981.0,331.0,09-Sep-2021,7.42,2.0,156244.0,253240.0,Bose Sound System. Sports Exhaust.
2,Toyota Corolla Altis 1.6A ,53800.0,10630.0,146302.0,1598.0,80.0,04-Jun-2009,5.06,6.0,17500.0,17500.0,"Sports rims, leather seats, factory fitted audio system with reverse sensors, retractable side mirrors with indicators."
4,Volkswagen Golf 1.4A TSI EQP Sunroof ,62800.0,12550.0,95000.0,1395.0,90.0,26-Aug-2014,5.0,2.0,22711.0,8796.0,"18"" sport rims. Factory fitted audio system. Navigation. Retractable side mirrors. Rear aircon. Sunroof. Electric park brake. All round sensor."
5,Honda Odyssey 2.4A EXV-S Sunroof ,84800.0,8480.0,135404.0,2356.0,129.0,27-Aug-2014,10.0,1.0,29743.0,33641.0,"Sunroof, dual auto sliding doors, front electric seats, 360 view cam w/auto park assist. Blindspot alert. Multi function steering controls, Bluetooth."
6,BMW 5 Series 528i M-Sport Sunroof ,144800.0,14470.0,114000.0,1997.0,180.0,11-Apr-2014,10.0,2.0,58047.0,71485.0,"Keyless entry/start, reverse camera/sensors, power tailgate with kick boot, navigation, Bluetooth, soft closing, iDrive, electric/memory seats."
7,Mercedes-Benz C-Class C200,35800.0,25800.0,151000.0,1991.0,135.0,12-Feb-2015,0.84,2.0,32904.0,28066.0,"Keyless entry/start/stop, multi function steering wheel, reverse camera/sensor, auto headlight, premium leather interior, wireless phone charging."
10,Opel Grandland X 1.2A Turbo Innovation Premium,92800.0,13810.0,75000.0,1199.0,96.0,16-Oct-2019,5.52,1.0,29370.0,33118.0,"Forward Collision Alert, Apple CarPlay And Android Auto, Reverse Camera With 360 View, Lane Keep Assist, Auto Tailgate, Sport Rim, Etc."
11,Porsche Macan Diesel S 3.0A PDK ,188800.0,18870.0,123967.0,2967.0,190.0,09-Oct-2014,10.0,2.0,71308.0,95355.0,"Dual auto memory seats, original factory system with all round parking cam/sensor, 6-pot Porsche calipers, sport mode, rear aircon, auto tailgate."
13,Honda Odyssey 2.4A EXV-S Sunroof ,128800.0,12870.0,134314.0,2356.0,129.0,11-Mar-2014,10.0,2.0,30422.0,34591.0,"Sunroof, dual auto sliding doors, front electric seats, 360 view cam w/auto park assist. Blindspot alert. Multi-function steering controls, Bluetooth."
14,Mercedes-Benz C-Class C350 Avantgarde ,89800.0,13170.0,120000.0,3498.0,225.0,26-Jul-2011,6.81,3.0,69317.0,69317.0,"Keyless entry/start/stop, reverse camera/sensor, lane assist, blind spot monitoring, multi functional steering wheel, rear ac, electric memory seats."
15,Honda Fit Hybrid 1.5A,71888.0,14770.0,66000.0,1496.0,101.0,19-Nov-2018,4.61,2.0,17493.0,7493.0,"Leather seats, auto fold side mirror, keyless entry start, auto headlights, knockdown rear seats, sports rim, solar film, recording camera."
18,Nissan Note e-POWER Hybrid 1.2A Premium,56800.0,14430.0,75270.0,1760.0,80.0,25-Aug-2017,3.37,1.0,24442.0,16219.0,"Keyless entry/start/stop, Bluetooth, Apple CarPlay/Android Auto, knockdown rear seats, reverse camera, lane keep assist, lane departure warning."
19,Lexus RX450h Hybrid Premium Sunroof,180988.0,28430.0,33000.0,3456.0,230.0,31-May-2018,4.06,1.0,85793.0,126428.0,"Sports rims, leather seats, DVD player, reverse sensors, LCD monitor, rear aircon."
20,Volkswagen Passat 1.8A TFSI,86988.0,16030.0,84000.0,1798.0,132.0,19-Oct-2018,4.52,1.0,26305.0,28827.0,"17'' factory fitted rims with almost new tyres. Factory fitted audio system. Bluetooth, navigation, electric memory seats. Auto climate aircon."
21,Nissan Note 1.2A,70800.0,12120.0,42410.0,1198.0,58.0,27-Nov-2019,5.63,2.0,13465.0,5000.0,"Keyless entry/start/stop, knockdown rear seats, reverse sensors, upgraded Android audio player, leather upholstery."
23,Honda Vezel 1.5A X,88988.0,13900.0,61500.0,1496.0,96.0,12-Feb-2020,5.84,2.0,23855.0,15397.0,"Reverse Camera And Reverse Sensor, 16 Inch Factory Sports Rim, Pioneer Head Unit, Auto Headlight, Keyless Entry, Electric Parking Button."
25,Honda HR-V 1.5A LX,81555.0,13510.0,141688.0,1496.0,96.0,20-Jun-2019,5.19,1.0,21944.0,22722.0,"Factory fitted audio, Bluetooth, LED headlights, folding side mirrors, multi function steering wheels, knockdown rear seats, reverse camera."
26,Mercedes-Benz C-Class C180 Avantgarde,55998.0,21370.0,121235.0,1595.0,115.0,14-Jan-2016,0.76,2.0,35428.0,36600.0,"Electric tailgate, multi function steering, factory fitted audio system, reverse camera/sensors, electric seats, rain sensors, auto headlight."
28,Honda City 1.5A SV,26000.0,24940.0,84483.0,1497.0,88.0,03-Mar-2015,0.89,2.0,17319.0,7319.0,Road tax just renewed for 6 months! WhatsApp now to view!
29,BMW M3 Sedan Competition Package,421800.0,40660.0,27600.0,2993.0,375.0,29-Jun-2022,8.22,1.0,106707.0,174756.0,"M Sports carbon exterior, M Sports seats, M sports brakes, infotainment display with Apple CarPlay and android auto, 360 degree camera."
30,Mitsubishi Attrage 1.2A,47888.0,12260.0,73000.0,1193.0,59.0,22-Dec-2017,3.7,1.0,13617.0,5000.0,1 Owner Only In Pearl White. Purchase Comes With 3x Free Servicing. Low Mileage Clocked. Pristine Condition. Flexible Finance Packages Are Available. Trade In Is Welcomed. Contact Our Friendly Sales Advisors Now For Viewing Arrangement.
31,Jaguar XJ 3.0A SC TSS LWB Sunroof,173777.0,22390.0,62000.0,2995.0,250.0,28-Feb-2019,4.88,1.0,86971.0,128548.0,"Keyless entry/start, auto headlights/wiper, reverse camera, navigation, Bluetooth interface, electric tailgate, meridian sound system. Sun/moonroof."
34,Porsche Macan 2.0A PDK ,205800.0,20570.0,135000.0,1984.0,174.0,15-Jul-2014,10.0,3.0,59920.0,79856.0,Keyless entry and start stop. Driver and passenger side electronic and memory seats. Original sports seats as well!
36,BMW 2 Series 216i Active Tourer M-Sport,185800.0,17590.0,4000.0,1499.0,90.0,28-Sep-2023,9.47,1.0,33039.0,38255.0,"Lane Departure Warning With Active Return To The Lane, Speed Limit Info, Manual Speed Limit Assist And Front Collision Warning, Rear View Camera."
37,BMW M4 Coupe ,169900.0,16980.0,119000.0,2979.0,317.0,18-Mar-2015,10.0,2.0,74016.0,105229.0,The best condition M4 in the market. Original Yas marina blue M4. 100% stock condition with no mods or dekits. PPI done at reputable workshop. Munich agent unit with full service record. No expense spared. 3x free servicing. Option to buy w new 10 yr coe for April at 269k.
38,Hyundai Elantra 1.6A GLS S,69988.0,13610.0,98000.0,1591.0,93.8,15-Nov-2018,4.6,1.0,14645.0,14645.0,"Electrical leather seats, reverse sensors/camera, fog lamps, electric park brake, integrated touch screen infotainment."
39,BMW 3 Series 330i,154800.0,23120.0,86000.0,1998.0,190.0,26-Jul-2019,5.29,1.0,51530.0,64754.0,"iDrive with GPS, cruise control with brake function, auto rain, light sensors, PDC with rear camera, driving assistance, auto tailgate and 18"" rims."
40,Audi Q2 1.0A TFSI S-tronic,62800.0,15560.0,86254.0,999.0,85.0,16-Sep-2017,3.43,3.0,26196.0,18675.0,"Factory fitted Audi MMI, Bluetooth connectivity, electric parking brake, front and rear climate controls, multifunction steering wheel.Reverse Camera."
41,Skoda Kodiaq 1.5A TSI Ambition,192988.0,20770.0,22500.0,1498.0,110.0,11-Oct-2022,8.5,1.0,28864.0,32410.0,"Keyless Entry/start, Blind Spot Assist, CarPlay/Android Auto, Electric Tailgate, Park Assist, Reverse Camera, Adaptive Cruise Control,collision Warnin"
44,Nissan Sylphy 1.6A,100988.0,12650.0,25000.0,1598.0,85.0,31-Jul-2021,7.31,1.0,17007.0,17007.0,"Factory Fitted Audio System With Bluetooth, Reverse Camera And Sensors, Auto Folding Side Mirrors, Original 16"" Sports Rims."
46,Toyota Estima 2.4A Aeras Premium,98988.0,22630.0,82000.0,2362.0,125.0,31-Aug-2017,3.39,2.0,37475.0,44465.0,"Auto Head Lights, Keyless Entry/start/stop, Rear Aircon, Electric Tailgate, Reverse Camera, Front Recording Cam, Knockdown Rear Seats, ISOFIX."
47,Hyundai Venue 1.6A GLS S,98399.0,12920.0,28800.0,1598.0,90.2,22-Mar-2021,6.95,1.0,17123.0,17123.0,"Apple CarPlay/Android Auto, TPM system, multi USB charging ports, lenticular tail lamp, dual level boot storage, etc."
48,Jaguar XJ 2.0A TSS Premium Luxury SWB Sunroof,76800.0,18890.0,92000.0,1999.0,177.0,02-Nov-2015,0.56,3.0,68054.0,94498.0,"Touchscreen Bluetooth Player, Electric Seats, Electric Tailgate, Suction Door, Keyless Entry, Reverse Camera And Sensor, Ventilated And Heated Seats."
49,Volvo V40 T4 Momentum,90988.0,15430.0,66000.0,1969.0,140.0,23-May-2019,5.04,1.0,22799.0,23919.0,"Original Rims, Front, Rear And Reverse Camera, Bluetooth, Digital Speedometer, 3 Memory Settings For Driver, Electric Seat. Original Stock Condition."
53,Renault Scenic Diesel 1.5A dCi,102988.0,13590.0,24000.0,1461.0,81.0,30-Jun-2021,7.22,1.0,23315.0,9641.0,LED Headlights. Touch Screen Media With Carplay And Navigation. Ambient Lighting. Park Assist. Cruise Control. Multi Zone Acc. Digital Speedo.
55,Volkswagen Polo 1.0A TSI Comfortline,113988.0,12930.0,26100.0,999.0,85.0,25-May-2022,8.04,1.0,17815.0,17815.0,"Hand Gesture Control, Reverse Parking Sensors, Electrical Retractable Side Mirrors. Knockdown Rear Seats."
56,Mercedes-Benz E-Class E200 Avantgarde,107000.0,22340.0,88028.0,1991.0,135.0,28-Jul-2017,3.3,2.0,52579.0,66643.0,"Mercedes-Benz's COMAND infotainment system with an 8.4-inch display, Bluetooth connectivity, Built-in navigation and factory fitted sound system!"
57,BMW 3 Series 318i M-Sport,102988.0,18410.0,67000.0,1499.0,100.0,28-Aug-2018,4.38,1.0,37489.0,44485.0,"Full LED Digital Speedo Meter, Headlight And Fog Light, 18"" Sport Rim, Sport Leather Seats Keyless Entry And Start/stop. BMW IDrive System."
58,Hyundai i30 1.4A T-GDi DCT Turbo,95800.0,14940.0,53000.0,1353.0,95.6,04-Feb-2020,5.82,1.0,17608.0,17608.0,LED headlight. Drive mode selector. Reverse camera. CarPlay with Bluetooth. Cruise control. Electric seats. Climatic aircon. Paddle shifters.
59,Subaru Forester 2.0i-L Sunroof,65800.0,18510.0,65000.0,1995.0,110.0,05-Jun-2017,3.07,1.0,14835.0,14835.0,"Dual electric leather seats, Sunroof, multi function steering, front/rear/reverse camera and sensors, fog lights, factory fitted audio system."
60,Citroen C4 Picasso Diesel 1.6A BlueHDi,33800.0,15270.0,158000.0,1560.0,88.0,25-Feb-2016,0.87,2.0,23723.0,10213.0,Reverse cam and sensor. ISOFIX. Factory fitted infotainment touch screen audio with navigation/Bluetooth/USB.
68,Mercedes-Benz V-Class V260L Avantgarde,199800.0,28000.0,65000.0,1991.0,155.0,25-Mar-2020,5.96,1.0,52179.0,65923.0,"Sport rims, front memory seat, auto tailgate,360 degree camera,electric side door,factory audio player,leather seats."
70,BMW 1 Series 116i Sportline,132888.0,16060.0,60000.0,1499.0,80.0,10-Jun-2021,7.17,1.0,31057.0,35480.0,"Drive 7 with apple CarPlay, GPS, Bluetooth, cruise control, wireless phone charging, PDC with rear camera, driving/parking assistance, 17"" rims"
72,Audi A3 Sedan 1.4A TFSI S-tronic Ambiente,30000.0,21110.0,150500.0,1395.0,92.0,28-Apr-2015,0.05,2.0,27642.0,15699.0,"Audi MMI, rear aircon, 19"" rims with Michelin tyres."
76,Lexus IS250C ,115000.0,15200.0,165500.0,2500.0,153.0,26-Mar-2012,7.56,5.0,53007.0,53007.0,"Pirelli tyres, sports rims, bumper. Brand New! Newly refurbished door panels. No Lexus leather worries! New paint rounding up the fresh makeover!"
77,Honda Jazz 1.5A RS,69000.0,14040.0,88563.0,1498.0,96.0,01-Aug-2018,4.31,3.0,16882.0,16882.0,"Tanabe muffler with cert, SCUSS semi bucket seat, ultra racing bar, Lufi meter. Blue cabin light for front passengers, full black central console."
78,Citroen Grand C4 Picasso Diesel 1.6A BlueHDi Panoramic Roof,52888.0,15790.0,124000.0,1560.0,88.0,30-Mar-2017,2.97,3.0,25002.0,12003.0,"Apple CarPlay and Android Auto, Panoramic roof. GPS navigation. Bluetooth. USB. Reverse camera. Rear sensor. In car front and rear camera."
79,Hyundai Kona 1.6A GLS Turbo,71800.0,15320.0,66000.0,1591.0,130.0,19-Jun-2018,4.19,3.0,15051.0,15051.0,"Keyless entry, Electric Seats, Android auto + Carplay Bluetooth connect. cruise control, lane assist, descent control, triple Drive mode"
81,Citroen C5 Aircross 1.2A PureTech EAT8 Feel,129777.0,15010.0,34000.0,1199.0,96.0,15-Sep-2022,8.43,1.0,20902.0,6263.0,Multi steering function. Keyless entry. Push start/stop. Factory fitted audio player. Rear aircon. Active safety sense.
83,BMW 7 Series 730Li Sunroof,142777.0,23230.0,128000.0,1998.0,190.0,28-Dec-2017,3.72,2.0,78250.0,112850.0,"BMW touch command, gesture control, sunroof, navigation, 360 camera, soft close doors."
84,Peugeot 308 SW 1.2A PureTech Allure Glass Roof,41800.0,13020.0,90000.0,1199.0,96.0,17-Jan-2017,2.77,1.0,21010.0,11414.0,"Panoramic Roof, Sports Rims, Factory Audio System With Bluetooth/navigation, Smart Touch Control Panel, Steering Controls, Blind Spot Monitoring."
86,BMW 5 Series 520i Mild Hybrid M-Sport,263800.0,24730.0,5700.0,1998.0,137.2,29-Mar-2023,8.97,1.0,58876.0,83865.0,"Dual zone aircon. Ambient lighting. 12.3"" control and instrument display. Parking assist. Comfort access, electric seats, m aerodynamics package."
87,Mazda 2 1.5A,43888.0,13340.0,60000.0,1496.0,85.0,18-Jan-2017,2.77,1.0,18729.0,13729.0,"Sports rims, leather seats, audio system and steering controls, reverse sensors."
90,Honda Vezel 1.5A RS,61800.0,16090.0,93150.0,1496.0,96.0,09-Jun-2017,3.08,2.0,24845.0,21783.0,"Leather seats, sports rims, multi function steering wheel. Auto headlights."
91,Mercedes-Benz GLC-Class GLC300 Coupe 4MATIC,241888.0,27470.0,72000.0,1991.0,190.0,24-Sep-2021,7.46,1.0,56593.0,73868.0,"Electric memory with lumbar support seats, factory fitted audio system with Apple CarPlay/Android Auto, keyless go entry, starting function."
92,Renault Scenic Diesel 1.5A dCi,69800.0,13490.0,85700.0,1461.0,81.0,26-Nov-2018,4.63,1.0,23315.0,14641.0,"20"" Rims, Keyless Entry/Start, Reverse Cam, Front And Rear Sensors, Dual Climatic Aircon With Rear Aircon, Tyre Pressure Monitor, Auto Rain Sensors."
96,Nissan Kicks e-POWER Hybrid 1.2A Premium Plus,112688.0,15150.0,29500.0,1198.0,95.0,16-Apr-2021,7.02,1.0,25465.0,12651.0,"Infotainment system, Bluetooth, wired apple/Android carplay, Nappa leather, sports rims, knockdown rear seats, reverse camera, auto LED headlights/DRL"
97,Skoda Octavia 2.0A TSI RS,110800.0,19380.0,81000.0,1984.0,180.0,26-Mar-2019,4.96,2.0,26650.0,29310.0,"Maxton bodykit, TC105X rims, Auto tailgate, Infotainment system with carplay, k sport coilovers, IE cold air intake and turbo inlet pipe."
98,BMW 2 Series 216d Gran Tourer,41888.0,17940.0,123000.0,1496.0,85.0,27-Nov-2015,0.63,1.0,30843.0,25181.0,"Factory fitted audio system with Bluetooth/contactless boot release tailgate, memory seats, sport/eco modes."
99,Ford Focus Wagon 1.0A GTDI Titanium,57888.0,11910.0,89300.0,999.0,92.0,27-Apr-2018,4.05,2.0,19340.0,19340.0,"Leather seats, factory fitted audio system with Bluetooth, reverse camera/sensors, retractable side mirrors, car dash camera, fog lamp."
